open,high,low,close,tick_volume,EMA_20,EMA_50,RSI,MACD,Signal,Histogram
1.1737,1.17386,1.17342,1.17359,897,1.1736407731779834,1.1744464588172512,39.15441176470355,-0.00037366910273228804,-0.0004296010906130066,5.5931987880718584e-05
1.17359,1.17359,1.17309,1.17318,1119,1.1735968900181755,1.1743967937655944,41.52046783625526,-0.00036625971995363216,-0.00041693281648113174,5.0673096527499583e-05
1.17318,1.17319,1.17264,1.17283,845,1.1735238528735874,1.174335350872826,39.51762523191102,-0.00038420097595381897,-0.0004103864483756692,2.618547242185025e-05
1.17283,1.17328,1.17262,1.17307,1073,1.1734806287903885,1.17428572926997,44.632768361581775,-0.0003747338577091419,-0.00040325593024236376,2.8522072533221842e-05
1.17307,1.17331,1.17293,1.17305,663,1.1734396165246372,1.1742372692985985,50.64102564102515,-0.0003646415701079597,-0.000395533058215483,3.089148810752327e-05
1.17303,1.17325,1.17298,1.17318,602,1.1734148911413385,1.1741958077574772,46.15384615384376,-0.0003422086773137156,-0.00038486818203512955,4.265950472141393e-05
1.17318,1.17336,1.17296,1.17332,656,1.1734058538897822,1.1741614623552235,50.0,-0.000309565143901791,-0.00036980757440846187,6.024243050667085e-05
1.17332,1.17349,1.17284,1.1732,765,1.173386248757422,1.1741237579491361,49.07407407407303,-0.0002900345676513094,-0.0003538529730570314,6.3818405405722e-05
1.1732,1.17371,1.17308,1.17358,676,1.173404701256715,1.1741024341079938,49.886104783600864,-0.00024111420656991456,-0.000331305219759608,9.019101318969347e-05
1.17359,1.17389,1.17354,1.17386,699,1.1734480630417896,1.1740929268880724,63.98963730570079,-0.000177702365761645,-0.0003005846489600154,0.0001228822831983704
1.17386,1.1741,1.1736,1.17404,536,1.1735044379901907,1.1740908513238342,72.40437158469896,-0.0001116366515585554,-0.0002627950494797234,0.000151158397921168
1.17404,1.17446,1.17395,1.17434,558,1.1735840153244583,1.1741006218601544,68.73065015479864,-3.467192787720563e-05,-0.00021717042515921985,0.00018249849728201422
1.17436,1.17443,1.17405,1.17423,597,1.1736455376745099,1.1741056955126974,65.21739130435202,1.7248262218938493e-05,-0.00017028668768358818,0.00018753494990252667
1.17423,1.17468,1.17419,1.17429,691,1.1737069150388422,1.1741129231396505,60.42402826855406,6.251623722630661e-05,-0.0001237261027016092,0.00018624233992791582
1.17429,1.17435,1.17393,1.17401,685,1.173735780273238,1.1741088869380958,57.00000000000223,7.493398132374374e-05,-8.399408589653862e-05,0.00015892806722028237
1.174,1.17407,1.17376,1.17389,357,1.173750467866263,1.174100303136602,63.09963099631604,7.423638503167851e-05,-5.2347991710895186e-05,0.0001265843767425737
1.17389,1.17397,1.17377,1.17386,215,1.1737608994980473,1.1740908794841862,71.54811715480984,7.045067414712669e-05,-2.7788258539290812e-05,9.82389326864175e-05
1.17387,1.17389,1.17373,1.1738,220,1.1737646233553762,1.1740794724455907,66.5158371040714,6.189547987389687e-05,-9.851510856653274e-06,7.174699073055014e-05
1.1738,1.17407,1.17376,1.17397,289,1.1737841830358164,1.1740751794085087,69.491525423732,6.80485843054246e-05,5.728508175762301e-06,6.23200761296623e-05
1.17366,1.17368,1.1733,1.17355,107,1.1737618798895482,1.174054584137587,56.9811320754766,3.858963667413562e-05,1.2300733875436966e-05,2.6288902798698652e-05
1.17355,1.17401,1.17348,1.1736,116,1.1737464627572103,1.174036757308662,55.4687500000023,1.9058100647617593e-05,1.3652207229873092e-05,5.405893417744501e-06
1.1736,1.17374,1.17355,1.17374,163,1.1737458472565234,1.174025119767146,60.46511627907117,1.470651999246897e-05,1.3863069782392268e-05,8.434502100767014e-07
1.17374,1.17402,1.17365,1.17366,378,1.1737376713273306,1.174010801344905,51.75438596490946,4.747799878357384e-06,1.2040015801585292e-05,-7.292215923227908e-06
1.17366,1.17399,1.17364,1.1737,217,1.1737340835818706,1.1739986130568696,46.07843137255019,8.216104374625388e-08,9.648444850017484e-06,-9.56628380627123e-06
1.1737,1.17392,1.1737,1.17388,177,1.1737479803835973,1.1739939615644435,46.07843137255019,1.078478405314165e-05,9.875712690642317e-06,9.090713624993323e-07
1.17388,1.17394,1.17379,1.17387,109,1.1737596012994453,1.1739891003266223,36.57142857142879,1.824940568107003e-05,1.155045128872786e-05,6.69895439234217e-06
1.17387,1.17399,1.17383,1.1739,123,1.17377297260426,1.1739856061961664,40.119760479037375,2.628294791762187e-05,1.4496950614506662e-05,1.1785997303115206e-05
